OG,len,i,sp
OG0002921,610,Gene.29198__NODE_16056__g.29198__m.29198,10D
OG0003347,605,Gene.29230__NODE_16080__g.29230__m.29230,10D
OG0002566,1494,Gene.4412__NODE_1609__g.4412__m.4412,10D
OG0002922,542,Gene.29258__NODE_16100__g.29258__m.29258,10D
OG0002923,566,Gene.29272__NODE_16110__g.29272__m.29272,10D
OG0002924,619,Gene.29353__NODE_16166__g.29353__m.29353,10D
OG0002567,443,Gene.29456__NODE_16239__g.29456__m.29456,10D
OG0002568,589,Gene.29480__NODE_16254__g.29480__m.29480,10D
OG0003350,509,Gene.29513__NODE_16277__g.29513__m.29513,10D
OG0003351,618,Gene.29531__NODE_16288__g.29531__m.29531,10D
OG0002925,616,Gene.29562__NODE_16306__g.29562__m.29562,10D
OG0003352,599,Gene.29573__NODE_16311__g.29573__m.29573,10D
OG0002569,592,Gene.29592__NODE_16322__g.29592__m.29592,10D
OG0003353,596,Gene.29758__NODE_16434__g.29758__m.29758,10D
OG0003354,545,Gene.29774__NODE_16443__g.29774__m.29774,10D
OG0003852,554,Gene.29796__NODE_16459__g.29796__m.29796,10D
OG0003853,602,Gene.29832__NODE_16486__g.29832__m.29832,10D
OG0003854,584,Gene.29867__NODE_16511__g.29867__m.29867,10D
OG0003855,595,Gene.29894__NODE_16530__g.29894__m.29894,10D
OG0003355,526,Gene.29919__NODE_16546__g.29919__m.29919,10D
OG0002926,425,Gene.29921__NODE_16547__g.29921__m.29921,10D
OG0002572,608,Gene.29940__NODE_16561__g.29940__m.29940,10D
OG0003857,591,Gene.29959__NODE_16575__g.29959__m.29959,10D
OG0002927,604,Gene.29967__NODE_16583__g.29967__m.29967,10D
OG0002928,567,Gene.29976__NODE_16589__g.29976__m.29976,10D
OG0002929,590,Gene.30038__NODE_16633__g.30038__m.30038,10D
OG0003356,597,Gene.30047__NODE_16640__g.30047__m.30047,10D
OG0002573,582,Gene.30130__NODE_16688__g.30130__m.30130,10D
OG0003359,565,Gene.30197__NODE_16734__g.30197__m.30197,10D
OG0003858,604,Gene.30212__NODE_16742__g.30212__m.30212,10D
OG0002932,588,Gene.30304__NODE_16803__g.30304__m.30304,10D
OG0003859,544,Gene.30327__NODE_16817__g.30327__m.30327,10D
OG0003860,594,Gene.30398__NODE_16868__g.30398__m.30398,10D
OG0003360,580,Gene.30453__NODE_16903__g.30453__m.30453,10D
OG0002933,588,Gene.30464__NODE_16910__g.30464__m.30464,10D
OG0003350,560,Gene.30484__NODE_16921__g.30484__m.30484,10D
OG0003861,577,Gene.30502__NODE_16935__g.30502__m.30502,10D
OG0003863,505,Gene.30618__NODE_17008__g.30618__m.30618,10D
OG0002574,597,Gene.30644__NODE_17023__g.30644__m.30644,10D
OG0002934,492,Gene.30655__NODE_17031__g.30655__m.30655,10D
OG0002576,516,Gene.30658__NODE_17032__g.30658__m.30658,10D
OG0003864,564,Gene.30667__NODE_17037__g.30667__m.30667,10D
OG0002935,565,Gene.30713__NODE_17065__g.30713__m.30713,10D
OG0002910,343,Gene.30720__NODE_17072__g.30720__m.30720,10D
OG0003362,571,Gene.30728__NODE_17077__g.30728__m.30728,10D
OG0003866,578,Gene.30744__NODE_17086__g.30744__m.30744,10D
OG0003867,539,Gene.30807__NODE_17134__g.30807__m.30807,10D
OG0002577,600,Gene.30863__NODE_17173__g.30863__m.30863,10D
OG0003364,603,Gene.30916__NODE_17214__g.30916__m.30916,10D
OG0002578,1447,Gene.4661__NODE_1723__g.4661__m.4661,10D
OG0002579,604,Gene.30938__NODE_17231__g.30938__m.30938,10D
OG0003365,495,Gene.30953__NODE_17239__g.30953__m.30953,10D
OG0002580,500,Gene.30985__NODE_17262__g.30985__m.30985,10D
OG0002937,541,Gene.31052__NODE_17309__g.31052__m.31052,10D
OG0002938,589,Gene.31088__NODE_17334__g.31088__m.31088,10D
OG0003295,575,Gene.31101__NODE_17342__g.31101__m.31101,10D
OG0003367,585,Gene.31172__NODE_17389__g.31172__m.31172,10D
OG0003368,508,Gene.31256__NODE_17441__g.31256__m.31256,10D
OG0003870,585,Gene.31359__NODE_17503__g.31359__m.31359,10D
OG0003369,601,Gene.31364__NODE_17508__g.31364__m.31364,10D
OG0002940,562,Gene.31376__NODE_17516__g.31376__m.31376,10D
OG0003872,496,Gene.31444__NODE_17563__g.31444__m.31444,10D
OG0002583,557,Gene.31455__NODE_17568__g.31455__m.31455,10D
OG0003873,517,Gene.31473__NODE_17583__g.31473__m.31473,10D
OG0003874,539,Gene.31625__NODE_17688__g.31625__m.31625,10D
OG0002584,601,Gene.31655__NODE_17708__g.31655__m.31655,10D
OG0003876,584,Gene.31698__NODE_17737__g.31698__m.31698,10D
OG0002941,574,Gene.31703__NODE_17741__g.31703__m.31703,10D
OG0002942,573,Gene.31745__NODE_17774__g.31745__m.31745,10D
OG0003372,553,Gene.31748__NODE_17776__g.31748__m.31748,10D
OG0002586,589,Gene.31800__NODE_17813__g.31800__m.31800,10D
OG0002926,566,Gene.31815__NODE_17822__g.31815__m.31815,10D
OG0002587,529,Gene.31883__NODE_17867__g.31883__m.31883,10D
OG0003373,527,Gene.31910__NODE_17884__g.31910__m.31910,10D
OG0002588,548,Gene.31937__NODE_17904__g.31937__m.31937,10D
OG0003879,546,Gene.31959__NODE_17920__g.31959__m.31959,10D
OG0002589,566,Gene.32025__NODE_17973__g.32025__m.32025,10D
OG0003880,479,Gene.32069__NODE_18005__g.32069__m.32069,10D
OG0002590,504,Gene.32086__NODE_18016__g.32086__m.32086,10D
OG0003881,515,Gene.32109__NODE_18033__g.32109__m.32109,10D
OG0003374,568,Gene.32138__NODE_18053__g.32138__m.32138,10D
OG0003375,481,Gene.32160__NODE_18067__g.32160__m.32160,10D
OG0002592,578,Gene.32172__NODE_18077__g.32172__m.32172,10D
OG0003376,577,Gene.32196__NODE_18096__g.32196__m.32196,10D
OG0002944,476,Gene.32239__NODE_18126__g.32239__m.32239,10D
OG0002945,595,Gene.32390__NODE_18232__g.32390__m.32390,10D
OG0003883,1277,Gene.4890__NODE_1826__g.4890__m.4890,10D
OG0003884,537,Gene.32456__NODE_18277__g.32456__m.32456,10D
OG0003885,572,Gene.32505__NODE_18311__g.32505__m.32505,10D
OG0002946,557,Gene.32521__NODE_18323__g.32521__m.32521,10D
OG0002947,542,Gene.32523__NODE_18324__g.32523__m.32523,10D
OG0003886,538,Gene.32651__NODE_18418__g.32651__m.32651,10D
OG0002949,547,Gene.32674__NODE_18434__g.32674__m.32674,10D
OG0003377,551,Gene.32732__NODE_18478__g.32732__m.32732,10D
OG0002593,577,Gene.32778__NODE_18507__g.32778__m.32778,10D
OG0002951,482,Gene.32860__NODE_18563__g.32860__m.32860,10D
OG0002952,574,Gene.32893__NODE_18585__g.32893__m.32893,10D
OG0003379,550,Gene.32944__NODE_18625__g.32944__m.32944,10D
OG0002594,483,Gene.32982__NODE_18653__g.32982__m.32982,10D
OG0002953,493,Gene.33119__NODE_18751__g.33119__m.33119,10D
OG0003381,515,Gene.33152__NODE_18776__g.33152__m.33152,10D
OG0003382,544,Gene.33181__NODE_18794__g.33181__m.33181,10D
OG0003889,524,Gene.33196__NODE_18806__g.33196__m.33196,10D
OG0002596,565,Gene.33357__NODE_18916__g.33357__m.33357,10D
OG0003384,516,Gene.33385__NODE_18937__g.33385__m.33385,10D
OG0002597,553,Gene.33393__NODE_18943__g.33393__m.33393,10D
OG0003385,482,Gene.33398__NODE_18947__g.33398__m.33398,10D
OG0003891,530,Gene.33404__NODE_18951__g.33404__m.33404,10D
OG0002598,544,Gene.33434__NODE_18973__g.33434__m.33434,10D
OG0003892,537,Gene.33536__NODE_19041__g.33536__m.33536,10D
OG0003893,477,Gene.33558__NODE_19058__g.33558__m.33558,10D
OG0002954,562,Gene.33642__NODE_19122__g.33642__m.33642,10D
OG0003894,489,Gene.33705__NODE_19166__g.33705__m.33705,10D
OG0003895,563,Gene.33707__NODE_19168__g.33707__m.33707,10D
OG0002956,493,Gene.33761__NODE_19203__g.33761__m.33761,10D
OG0002957,509,Gene.33855__NODE_19271__g.33855__m.33855,10D
OG0002958,457,Gene.33877__NODE_19289__g.33877__m.33877,10D
OG0003386,510,Gene.33881__NODE_19292__g.33881__m.33881,10D
OG0002601,497,Gene.34044__NODE_19408__g.34044__m.34044,10D
OG0003898,473,Gene.34059__NODE_19421__g.34059__m.34059,10D
OG0003899,543,Gene.34117__NODE_19459__g.34117__m.34117,10D
OG0002959,382,Gene.34126__NODE_19465__g.34126__m.34126,10D
OG0003387,486,Gene.34170__NODE_19491__g.34170__m.34170,10D
OG0002603,535,Gene.34386__NODE_19635__g.34386__m.34386,10D
OG0003388,489,Gene.34407__NODE_19648__g.34407__m.34407,10D
OG0002605,526,Gene.34573__NODE_19768__g.34573__m.34573,10D
OG0003901,545,Gene.34642__NODE_19813__g.34642__m.34642,10D
OG0002606,551,Gene.34700__NODE_19857__g.34700__m.34700,10D
OG0002960,529,Gene.34762__NODE_19899__g.34762__m.34762,10D
OG0003389,500,Gene.34804__NODE_19930__g.34804__m.34804,10D
OG0002607,536,Gene.34841__NODE_19953__g.34841__m.34841,10D
OG0002608,528,Gene.34861__NODE_19968__g.34861__m.34861,10D
OG0002609,544,Gene.34933__NODE_20011__g.34933__m.34933,10D
OG0003902,546,Gene.35000__NODE_20060__g.35000__m.35000,10D
OG0003903,517,Gene.35043__NODE_20090__g.35043__m.35043,10D
OG0002610,553,Gene.35096__NODE_20126__g.35096__m.35096,10D
OG0003391,522,Gene.35117__NODE_20140__g.35117__m.35117,10D
OG0002611,1390,Gene.5315__NODE_2017__g.5315__m.5315,10D
OG0003392,478,Gene.35248__NODE_20234__g.35248__m.35248,10D
OG0003905,456,Gene.35297__NODE_20267__g.35297__m.35297,10D
OG0002961,511,Gene.35332__NODE_20291__g.35332__m.35332,10D
OG0003906,526,Gene.35376__NODE_20325__g.35376__m.35376,10D
OG0002962,531,Gene.35412__NODE_20348__g.35412__m.35412,10D
OG0002612,519,Gene.35489__NODE_20399__g.35489__m.35489,10D
OG0003393,538,Gene.35498__NODE_20406__g.35498__m.35498,10D
OG0003394,542,Gene.35502__NODE_20408__g.35502__m.35502,10D
OG0003907,526,Gene.35525__NODE_20425__g.35525__m.35525,10D
OG0003908,493,Gene.35676__NODE_20528__g.35676__m.35676,10D
OG0002613,466,Gene.35699__NODE_20544__g.35699__m.35699,10D
OG0003395,485,Gene.35765__NODE_20594__g.35765__m.35765,10D
OG0002614,509,Gene.35789__NODE_20613__g.35789__m.35789,10D
OG0002615,523,Gene.35810__NODE_20628__g.35810__m.35810,10D
OG0003396,511,Gene.35813__NODE_20630__g.35813__m.35813,10D
OG0003397,506,Gene.35838__NODE_20645__g.35838__m.35838,10D
OG0002966,466,Gene.35925__NODE_20702__g.35925__m.35925,10D
OG0003398,480,Gene.35927__NODE_20703__g.35927__m.35927,10D
OG0003909,527,Gene.35932__NODE_20708__g.35932__m.35932,10D
OG0002616,453,Gene.35939__NODE_20714__g.35939__m.35939,10D
OG0002967,510,Gene.35946__NODE_20719__g.35946__m.35946,10D
OG0003399,527,Gene.35986__NODE_20749__g.35986__m.35986,10D
OG0002970,532,Gene.36000__NODE_20757__g.36000__m.36000,10D
OG0002618,446,Gene.36145__NODE_20851__g.36145__m.36145,10D
OG0002619,516,Gene.36193__NODE_20883__g.36193__m.36193,10D
OG0003910,508,Gene.36263__NODE_20930__g.36263__m.36263,10D
OG0003911,538,Gene.36325__NODE_20974__g.36325__m.36325,10D
OG0003400,512,Gene.36338__NODE_20986__g.36338__m.36338,10D
OG0002620,503,Gene.36344__NODE_20989__g.36344__m.36344,10D
OG0003401,339,Gene.36375__NODE_21007__g.36375__m.36375,10D
OG0003402,465,Gene.36394__NODE_21021__g.36394__m.36394,10D
OG0002621,539,Gene.36593__NODE_21157__g.36593__m.36593,10D
OG0003405,541,Gene.36688__NODE_21222__g.36688__m.36688,10D
OG0002972,503,Gene.36700__NODE_21229__g.36700__m.36700,10D
OG0003912,469,Gene.36790__NODE_21290__g.36790__m.36790,10D
OG0003913,405,Gene.36793__NODE_21292__g.36793__m.36793,10D
OG0003914,482,Gene.36798__NODE_21296__g.36798__m.36798,10D
OG0002622,513,Gene.36889__NODE_21363__g.36889__m.36889,10D
OG0003407,483,Gene.36892__NODE_21366__g.36892__m.36892,10D
OG0002973,534,Gene.36928__NODE_21392__g.36928__m.36928,10D
OG0003408,488,Gene.37009__NODE_21446__g.37009__m.37009,10D
OG0002974,496,Gene.37013__NODE_21448__g.37013__m.37013,10D
OG0002975,489,Gene.37020__NODE_21452__g.37020__m.37020,10D
OG0003409,501,Gene.37052__NODE_21476__g.37052__m.37052,10D
OG0002976,498,Gene.37065__NODE_21486__g.37065__m.37065,10D
OG0002623,454,Gene.37117__NODE_21519__g.37117__m.37117,10D
OG0003814,454,Gene.37137__NODE_21534__g.37137__m.37137,10D
OG0002977,532,Gene.37243__NODE_21611__g.37243__m.37243,10D
OG0002978,535,Gene.37273__NODE_21635__g.37273__m.37273,10D
OG0002979,486,Gene.37277__NODE_21638__g.37277__m.37277,10D
OG0002981,437,Gene.37388__NODE_21716__g.37388__m.37388,10D
OG0003916,437,Gene.37428__NODE_21749__g.37428__m.37428,10D
OG0003917,506,Gene.37449__NODE_21764__g.37449__m.37449,10D
OG0002983,476,Gene.37451__NODE_21766__g.37451__m.37451,10D
OG0002624,528,Gene.37467__NODE_21779__g.37467__m.37467,10D
OG0002984,532,Gene.37477__NODE_21786__g.37477__m.37477,10D
OG0002985,462,Gene.37505__NODE_21809__g.37505__m.37505,10D
OG0002986,455,Gene.37511__NODE_21815__g.37511__m.37511,10D
OG0003918,484,Gene.37524__NODE_21822__g.37524__m.37524,10D
OG0002625,508,Gene.37560__NODE_21850__g.37560__m.37560,10D
OG0002626,471,Gene.37585__NODE_21867__g.37585__m.37585,10D
OG0002987,492,Gene.37615__NODE_21887__g.37615__m.37615,10D
